Label,"Moto, Petrol","Moto, Battery Electric","Moto, Diesel","Moto, Biofuels/Mixes","Moto, Hydrogen","Moto, Jet Fuel","Moto, CNG/LPG","Car, Petrol","Car, Battery Electric","Car, Diesel","Car, Biofuels/Mixes","Car, Hydrogen","Car, Jet Fuel","Car, CNG/LPG","Bus/Matatu, Petrol","Bus/Matatu, Battery Electric","Bus/Matatu, Diesel","Bus/Matatu, Biofuels/Mixes","Bus/Matatu, Hydrogen","Bus/Matatu, Jet Fuel","Bus/Matatu, CNG/LPG","Truck, Petrol","Truck, Battery Electric","Truck, Diesel","Truck, Biofuels/Mixes","Truck, Hydrogen","Truck, Jet Fuel","Truck, CNG/LPG","Train, Petrol","Train, Battery Electric","Train, Diesel","Train, Biofuels/Mixes","Train, Hydrogen","Train, Jet Fuel","Train, CNG/LPG","Ship, Petrol","Ship, Battery Electric","Ship, Diesel","Ship, Biofuels/Mixes","Ship, Hydrogen","Ship, Jet Fuel","Ship, CNG/LPG","Aeroplane, Petrol","Aeroplane, Battery Electric","Aeroplane, Diesel","Aeroplane, Biofuels/Mixes","Aeroplane, Hydrogen","Aeroplane, Jet Fuel","Aeroplane, CNG/LPG"
Baseline 2015,0.8688653900451659,0.0,0.0,0.0,0.0,0.0,0.0,0.39794653317928347,0.0,0.020294154664993284,0.0,0.0,0.0,0.0,0.2363807523193364,0.0,3.1360243565826416,0.0,0.0,0.0,0.021870434112548798,0.274634428215027,0.0,2.0817220517854698,0.0,0.0,0.0,0.005764242727279663,0.0,0.0,0.47062436328124996,0.0,0.0,0.0,0.0,0.0,0.0,2.0636376796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424375281305611,0.0
Omoka 2030,0.7577081927490235,0.0,0.0,0.0,0.0,0.0,0.0,2.63665257187577,0.0,1.8865935444473645,0.0,0.0,0.0,0.0,0.039170375592470136,0.0,2.214573194969361,0.0022358696274057677,0.0,0.0,0.0068205569210052506,1.146818556896671,0.0,7.09799784379063,0.0,0.0,0.0,3.4321453578770116e-05,0.0,0.0,0.06628781970214843,0.0,0.0,0.0,0.0,0.0,0.0,1.99743821875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7436655792188644,0.0
Omoka 2040,0.055087618388235615,0.0,0.0,0.0,0.0,0.0,0.0,1.6338341858743375,0.0,1.1361004233685958,0.0,0.0,0.0,0.0,0.004942635619167934,0.0,0.13991466887514553,0.00015969277955641154,0.0,0.0,3.190151498711207e-08,0.6368888096710066,0.0,6.057205113248537,0.0,0.0,0.0,0.0,0.0,0.0,0.05872246107191593,0.0,0.0,0.0,0.0,0.0,0.0,2.0279998044433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7771139694669247,0.0
Omoka 2050,0.00749885345458984,0.0,0.0,0.0,0.0,0.0,0.0,0.9655502713606069,0.0,0.6519207854457495,0.0,0.0,0.0,0.0,7.282335163652895e-05,0.0,0.012835121092173626,9.403807788585257e-06,0.0,0.0,0.0,0.25028389717727795,0.0,3.8707514683411928,0.0,0.0,0.0,0.0,0.0,0.0,0.012633856414794925,0.0,0.0,0.0,0.0,0.0,0.0,2.0414993125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7301095756868123,0.0
Electric Dreams 2030,0.5746746718139648,0.0,0.0,0.0,0.0,0.0,0.0,3.603620987810366,0.0,2.763677983415285,0.0,0.0,0.0,0.0,0.03934443898609283,0.0,3.226554441903256,0.002884966976726978,0.0,0.0,0.007367904308319101,1.0867183468798371,0.0,6.789295253488113,0.0,0.0,0.0,3.431778435409069e-05,0.0,0.0,0.054622914739608765,0.0,0.0,0.0,0.0,0.0,0.0,2.0077608984374997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7676344307098388,0.0
Electric Dreams 2040,0.011656461731851099,0.0,0.0,0.0,0.0,0.0,0.0,1.8995984241967396,0.0,1.5086776816247278,0.0,0.0,0.0,0.0,0.008091507948929908,0.0,0.9795628621014938,0.0009342344725937004,0.0,0.0,3.030881080485412e-08,0.43484755157193455,0.0,5.727332967439291,0.0,0.0,0.0,0.0,0.0,0.0,0.04378811248396709,0.0,0.0,0.0,0.0,0.0,0.0,2.0434557789306638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9424841968855857,0.0
Electric Dreams 2050,0.0014159485416412358,0.0,0.0,0.0,0.0,0.0,0.0,1.4775062144176316,0.0,0.8636097285524622,0.0,0.0,0.0,0.0,0.0005994658336776773,0.0,0.33286996845676153,0.00025228744803799746,0.0,0.0,0.0,0.03690762157720676,0.0,3.9929837313389034,0.0,0.0,0.0,0.0,0.0,0.0,0.009539488996505736,0.0,0.0,0.0,0.0,0.0,0.0,2.0629961249999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7991958696366548,0.0
Kujinao 2030,0.7963077044372558,0.0,0.0,0.0,0.0,0.0,0.0,3.034840905280634,0.0,1.518874061022128,0.0,0.0,0.0,0.0,0.044285699389874984,0.0,4.101448767462194,0.0035616438420629773,0.0,0.0,0.013388309936523436,0.8663490925228919,0.0,5.014237239722662,0.0,0.0,0.0,0.0002390897757261995,0.0,0.0,0.21700277513122557,0.0,0.0,0.0,0.0,0.0,0.0,2.0676680234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565926078166961,0.0
Kujinao 2040,0.09899562840406223,0.0,0.0,0.0,0.0,0.0,0.0,2.4400682847070527,0.0,1.4076082653283,0.0,0.0,0.0,0.0,0.014439941178852575,0.0,2.172808644124679,0.0019645592605420973,0.0,0.0,4.0567415213445254e-08,0.6225053922485475,0.0,6.183284324028194,0.0,0.0,0.0,0.0,0.0,0.0,0.4491847330909185,0.0,0.0,0.0,0.0,0.0,0.0,2.1320011344299314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.790027321751356,0.0
Kujinao 2050,0.02946360253906255,0.0,0.0,0.0,0.0,0.0,0.0,1.469375795275349,0.0,0.9666028981752626,0.0,0.0,0.0,0.0,0.0016301526205786496,0.0,1.808863273884787,0.001015912047400532,0.0,0.0,0.0,0.542744700625335,0.0,6.860943350742087,0.0,0.0,0.0,0.0,0.0,0.0,0.753954148361206,0.0,0.0,0.0,0.0,0.0,0.0,2.1671519999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7176729754448533,0.0
Streetfighting 2030,1.4209784700317387,0.0,0.0,0.0,0.0,0.0,0.0,2.653186277185657,0.0,1.6796050453362281,0.0,0.0,0.0,0.0,0.04665469852456453,0.0,4.6471703738451255,0.00401409301996795,0.0,0.0,0.00690711001968384,1.8975120460451915,0.0,5.851039798462816,0.0,0.0,0.0,3.501363407820461e-05,0.0,0.0,0.1786957555547126,0.0,0.0,0.0,0.0,0.0,0.0,2.0488431171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7383732738456725,0.0
Streetfighting 2040,0.6547800002477765,0.0,0.0,0.0,0.0,0.0,0.0,2.766738152581287,0.0,1.5302803522199617,0.0,0.0,0.0,0.0,0.019710672386765597,0.0,3.3647888892194215,0.003061772630073601,0.0,0.0,3.182641159219206e-08,2.4937586233605806,0.0,7.45043635381931,0.0,0.0,0.0,0.0,0.0,0.0,0.25322940113754233,0.0,0.0,0.0,0.0,0.0,0.0,2.123839060180664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726454754060626,0.0
Streetfighting 2050,0.4929775297851563,0.0,0.0,0.0,0.0,0.0,0.0,2.8520920703741144,0.0,1.4453610803197017,0.0,0.0,0.0,0.0,0.0031706829384863357,0.0,4.034705548962342,0.0021735822813184627,0.0,0.0,0.0,3.012322281936214,0.0,8.543375713585306,0.0,0.0,0.0,0.0,0.0,0.0,0.35498406504680263,0.0,0.0,0.0,0.0,0.0,0.0,2.1833378125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5671273767259121,0.0
